DATE,MKTGDPMXA646NWDB
1960-01-01,13040000000.0
1961-01-01,14160000000.0
1962-01-01,15200000000.0
1963-01-01,16960000000.0
1964-01-01,20080000000.0
1965-01-01,21840000000.0
1966-01-01,24320000000.0
1967-01-01,26560000000.0
1968-01-01,29360000000.0
1969-01-01,32480000000.0
1970-01-01,35520000000.0
1971-01-01,39200000000.0
1972-01-01,45200000000.0
1973-01-01,55280000000.0
1974-01-01,72000000000.0
1975-01-01,88000000000.0
1976-01-01,89025974025.974
1977-01-01,81814159292.0354
1978-01-01,102500000000.0
1979-01-01,134561403508.772
1980-01-01,205139086956.522
1981-01-01,263959336734.694
1982-01-01,184609157801.418
1983-01-01,156159198584.513
1984-01-01,184261495828.367
1985-01-01,195219789801.479
1986-01-01,134550096436.744
1987-01-01,147540738281.817
1988-01-01,181611549975.804
1989-01-01,221400669713.589
1990-01-01,261253582805.945
1991-01-01,313142768453.485
1992-01-01,363157598242.27
1993-01-01,500736065605.341
1994-01-01,527813238126.278
1995-01-01,360073909243.855
1996-01-01,410975595310.156
1997-01-01,500413483109.175
1998-01-01,526502129378.284
1999-01-01,600232874042.927
2000-01-01,707906744574.644
2001-01-01,756706300589.791
2002-01-01,772106378935.377
2003-01-01,729336319677.449
2004-01-01,782240601984.76
2005-01-01,877476221382.101
2006-01-01,975387131716.089
2007-01-01,1052696282278.88
2008-01-01,1109989063586.62
2009-01-01,900045350649.351
2010-01-01,1057801295584.05
2011-01-01,1180489601957.61
2012-01-01,1201089987015.45
2013-01-01,1274443084716.57
2014-01-01,1314563967425.24
2015-01-01,1170564619927.69
2016-01-01,1077827944342.35
2017-01-01,1158071006809.62
2018-01-01,1223808885585.61
